id,3PM,OREB
1,0.333235, 0.752191
2,0.999705, 0.558015
3,0.974956, 0.470807
4,0.461697, 0.777299
5,0.828816, 0.752191
6,0.416028, 0.781905
8,0.999705, 0.374684
9,0.489982, 0.705393
10,0.997643, 0.000000
11,0.998527, 0.587283
12,0.450501, 0.899272
13,0.992634, 0.400683
15,0.790513, 0.561729
16,0.991161, 0.426683
17,0.368592, 0.837766
19,0.948733, 0.523251
20,0.325280, 0.753677
21,0.994697, 0.587283
22,0.245728, 0.868816
24,0.994402, 0.591145
25,0.188568, 0.883821
26,0.124042, 0.817263
27,0.637006, 0.735403
28,0.687979, 0.889318
29,0.841485, 0.367107
30,1.000000, 0.316892
31,0.997938, 0.672114
32,0.838244, 0.813104
34,0.756335, 0.611499
35,0.666470, 0.793196
36,0.808780, 0.738969
37,0.516205, 0.889764
38,0.000000, 0.911900
39,0.865351, 0.889467
42,0.947260, 0.541673
44,0.992634, 0.541970
45,0.977313, 0.823800
46,0.933117, 0.587580
47,0.609311, 0.869113
48,0.417207, 0.841480
49,0.933117, 0.711484
50,0.657336, 0.620116
51,0.751031, 0.856485
52,0.993223, 0.746843
53,0.630819, 0.724855
54,0.953742, 0.867925
55,0.993518, 0.383301
56,0.847083, 0.934482
57,0.987036, 0.527113
58,0.345610, 0.930768
59,0.295522, 0.930322
60,0.999411, 0.726192
61,0.834414, 0.734661
63,0.929876, 0.824395
64,0.493518, 0.772248
65,0.711844, 0.692765
66,0.327637, 0.925420
68,0.882734, 0.858713
69,0.999116, 0.729906
70,0.941367, 0.512851
71,0.884502, 0.746843
73,0.978491, 0.924231
74,0.681497, 0.806864
75,0.986447, 0.692913
76,0.540660, 0.859456
78,0.937242, 0.850245
79,0.997054, 0.925865
81,0.759870, 0.847571
84,0.904243, 0.762145
85,0.766942, 0.594117
86,0.650560, 0.785025
87,0.932528, 0.844451
88,0.999116, 0.488040
89,0.414260, 0.737335
90,1.000000, 0.961373
91,0.503536, 0.904472
92,0.987920, 0.649681
93,0.571597, 0.833457
94,0.940189, 0.622344
95,0.988214, 0.386124
96,0.974661, 0.915020
97,0.910136, 0.713713
98,0.922216, 0.662606
99,0.935474, 0.825286
101,0.999411, 0.509137
102,0.998527, 0.327589
103,0.674720, 0.885604
104,0.994402, 0.948893
105,0.708898, 0.862428
106,0.708309, 0.900312
107,0.406600, 0.897638
108,0.965527, 0.768088
109,0.854449, 0.812658
110,0.708014, 0.913980
111,0.943135, 0.796018
113,0.994991, 0.872084
114,0.998232, 0.651166
115,0.684738, 0.896598
116,0.680024, 0.765562
117,0.991161, 0.698559
118,0.935769, 0.867330
119,0.997054, 0.936711
120,0.907778, 0.744912
122,0.460813, 0.928688
123,0.860047, 0.722032
124,0.540365, 0.920666
125,0.387743, 0.874164
126,0.843842, 0.882038
127,0.997643, 0.658446
128,0.756040, 0.863468
129,0.591632, 0.718615
130,0.802004, 0.908186
131,0.570713, 0.935968
132,0.617855, 0.893775
133,1.000000, 0.940128
134,0.999705, 0.607933
135,0.473483, 0.789333
136,0.976429, 0.783242
137,0.999411, 0.865102
138,0.766942, 0.712970
140,0.553919, 0.910712
141,0.545669, 0.919180
143,0.990277, 0.550438
144,0.749853, 0.654732
145,0.997054, 0.679394
146,0.771656, 0.899421
148,0.521214, 0.927202
149,0.954626, 0.722330
150,0.994402, 0.771356
151,0.692988, 0.863765
152,0.608427, 0.875204
153,0.999705, 0.731986
154,0.782852, 0.922746
155,0.537714, 0.682514
156,0.553035, 0.921408
158,0.994402, 0.749517
159,0.526223, 0.846531
160,0.997938, 0.758283
161,0.963170, 0.788442
162,0.999705, 0.778190
163,0.615498, 0.947556
164,0.840601, 0.651909
166,0.841485, 0.779082
167,0.507955, 0.937899
168,0.638774, 0.877433
169,0.912787, 0.871639
170,0.942546, 0.825880
172,0.999705, 0.929877
173,0.997643, 0.694845
174,0.993518, 0.675531
175,0.817325, 0.847422
177,0.347083, 0.951270
178,0.544490, 0.886941
179,0.968179, 0.878473
180,0.846494, 0.665726
183,0.559517, 0.898232
184,0.983206, 0.734958
185,0.967590, 0.898826
186,0.800530, 0.695885
187,0.999705, 0.697370
188,0.681497, 0.833903
189,0.999411, 0.700639
190,0.845905, 0.803595
192,0.995875, 0.728866
193,0.640542, 0.827366
194,0.652917, 0.947556
195,0.940483, 0.581192
196,0.670301, 0.859011
197,0.825575, 0.818898
198,0.481438, 0.889021
200,0.997643, 0.797801
201,0.777254, 0.701233
202,0.978197, 0.690685
203,0.999705, 0.766157
204,0.607543, 0.886792
206,0.661756, 0.834794
207,0.667060, 0.877433
208,0.970536, 0.571980
209,0.989982, 0.825732
210,0.806128, 0.782796
211,0.995875, 0.704204
212,0.712139, 0.777893
213,0.780200, 0.927054
214,0.863583, 0.864062
215,0.445492, 0.953053
216,0.952858, 0.927648
